2007	1	554.01
2007	2	606.33
2007	3	658.42
2007	4	526.59
2007	5	760.00
2007	6	1110.79
2007	7	1348.45
2007	8	1471.95
2007	9	1518.79
2007	10	655.50
2007	11	574.19
2007	12	648.72
2008	1	776.43
2008	2	791.71
2008	3	504.70
2008	4	618.69
2008	5	861.77
2008	6	1207.08
2008	7	1513.91
2008	8	1886.20
2008	9	1560.01
2008	10	711.85
2008	11	685.15
2008	12	836.91
2009	1	901.80
2009	2	847.41
2009	3	554.48
2009	4	512.67
2009	5	661.09
2009	6	1457.40
2009	7	1480.91
2009	8	1375.83
2009	9	1822.92
2009	10	665.79
2009	11	669.00
2009	12	508.99
2010	1	420.25
2010	2	648.15
2010	3	521.09
2010	4	579.00
2010	5	837.49
2010	6	1151.72
2010	7	1511.83
2010	8	1527.41
2010	9	1544.00
2010	10	821.09
2010	11	717.67
2010	12	802.58
2011	1	653.31
2011	2	807.60
2011	3	722.71
2011	4	552.95
2011	5	760.95
2011	6	1493.31
2011	7	1629.50
2011	8	1668.11
2011	9	1837.78
2011	10	738.87
2011	11	558.69
2011	12	678.70
2012	1	751.41
2012	2	701.03
2012	3	665.32
2012	4	617.19
2012	5	882.10
2012	6	1132.59
2012	7	1429.95
2012	8	1559.35
2012	9	1681.79
2012	10	520.40
2012	11	620.49
2012	12	587.62
2013	1	519.23
2013	2	632.81
2013	3	724.30
2013	4	681.99
2013	5	743.27
2013	6	1350.58
2013	7	1731.01
2013	8	1679.30
2013	9	1799.01
2013	10	808.75
2013	11	747.85
2013	12	775.81
2014	1	761.80
2014	2	798.51
2014	3	699.78
2014	4	556.27
2014	5	756.39
2014	6	1376.90
2014	7	1392.71
2014	8	1589.03
2014	9	1511.72
2014	10	609.29
2014	11	481.80
2014	12	668.99
2015	1	588.85
2015	2	656.65
2015	3	486.49
2015	4	593.30
2015	5	682.39
2015	6	1352.92
2015	7	1412.33
2015	8	1456.31
2015	9	1709.00
2015	10	729.39
2015	11	664.37
2015	12	767.48
2016	1	777.41
2016	2	607.60
2016	3	788.21
2016	4	866.55
2016	5	996.55
2016	6	1287.71
2016	7	1503.80
2016	8	1637.31
2016	9	1700.58
2016	10	688.47
2016	11	532.29
2016	12	771.60
