2007	1	32.7	554.01
2007	2	26.1	606.33
2007	3	37.4	658.42
2007	4	45.2	526.59
2007	5	61.4	760.0
2007	6	68.5	1110.79
2007	7	72.9	1348.45
2007	8	72.7	1471.95
2007	9	67.6	1518.79
2007	10	59.2	655.5
2007	11	43.0	574.19
2007	12	32.4	648.72
2008	1	33.4	776.43
2008	2	33.0	791.71
2008	3	38.2	504.7
2008	4	49.3	618.69
2008	5	57.7	861.77
2008	6	70.3	1207.08
2008	7	75.0	1513.91
2008	8	70.0	1886.2
2008	9	65.3	1560.01
2008	10	53.3	711.85
2008	11	43.4	685.15
2008	12	35.7	836.91
2009	1	24.9	901.8
2009	2	32.9	847.41
2009	3	37.4	554.48
2009	4	50.5	512.67
2009	5	59.5	661.09
2009	6	63.3	1457.4
2009	7	70.5	1480.91
2009	8	73.6	1375.83
2009	9	63.2	1822.92
2009	10	51.8	665.79
2009	11	48.8	669.0
2009	12	33.2	508.99
2010	1	29.6	420.25
2010	2	33.2	648.15
2010	3	43.9	521.09
2010	4	53.0	579.0
2010	5	62.8	837.49
2010	6	70.3	1151.72
2010	7	77.2	1511.83
2010	8	73.4	1527.41
2010	9	68.7	1544.0
2010	10	55.6	821.09
2010	11	44.8	717.67
2010	12	32.7	802.58
2011	1	27.6	653.31
2011	2	30.5	807.6
2011	3	38.9	722.71
2011	4	50.1	552.95
2011	5	59.2	760.95
2011	6	67.1	1493.31
2011	7	77.3	1629.5
2011	8	73.9	1668.11
2011	9	67.3	1837.78
2011	10	57.5	738.87
2011	11	50.4	558.69
2011	12	40.0	678.7
2012	1	34.2	751.41
2012	2	37.5	701.03
2012	3	46.7	665.32
2012	4	53.1	617.19
2012	5	60.3	882.1
2012	6	66.7	1132.59
2012	7	75.3	1429.95
2012	8	74.6	1559.35
2012	9	64.7	1681.79
2012	10	56.5	520.4
2012	11	42.1	620.49
2012	12	38.4	587.62
2013	1	31.5	519.23
2013	2	31.1	632.81
2013	3	37.7	724.3
2013	4	48.9	681.99
2013	5	58.8	743.27
2013	6	69.6	1350.58
2013	7	77.1	1731.01
2013	8	72.1	1679.3
2013	9	64.7	1799.01
2013	10	56.7	808.75
2013	11	42.7	747.85
2013	12	33.3	775.81
2014	1	27.5	761.8
2014	2	29.0	798.51
2014	3	33.5	699.78
2014	4	48.1	556.27
2014	5	58.7	756.39
2014	6	68.3	1376.9
2014	7	74.1	1392.71
2014	8	70.8	1589.03
2014	9	66.2	1511.72
2014	10	56.4	609.29
2014	11	42.5	481.8
2014	12	38.2	668.99
2015	1	26.2	588.85
2015	2	19.1	656.65
2015	3	33.3	486.49
2015	4	48.0	593.3
2015	5	62.3	682.39
2015	6	64.7	1352.92
2015	7	73.9	1412.33
2015	8	74.6	1456.31
2015	9	69.2	1709.0
2015	10	54.0	729.39
2015	11	48.6	664.37
2015	12	45.3	767.48
2016	1	32.6	777.41
2016	2	34.1	607.6
2016	3	42.5	788.21
2016	4	47.1	866.55
2016	5	58.6	996.55
2016	6	68.4	1287.71
2016	7	76.1	1503.8
2016	8	76.4	1637.31
2016	9	67.5	1700.58
2016	10	55.3	688.47
2016	11	46.2	532.29
2016	12	35.3	771.6
